year,population,consumption_mgd,per_capita_gpd
1979,7102100,1512.4,212.95
1980,7071639,1505.9,212.95
1981,7089241,1309.3,184.69
1982,7109105,1382.4,194.45
1983,7181224,1423.8,198.27
1984,7234514,1465.0,202.5
1985,7274054,1325.8,182.26
1986,7319246,1350.7,184.54
1987,7342476,1446.5,197.0
1988,7353719,1483.9,201.79
1989,7344175,1401.7,190.86
1990,7335650,1423.8,194.09
1991,7374501,1469.3,199.24
1992,7428944,1368.6,184.23
1993,7506166,1368.5,182.32
1994,7570458,1357.7,179.34
1995,7633040,1325.7,173.68
1996,7697812,1297.9,168.61
1997,7773443,1205.5,155.08
1998,7858259,1219.5,155.19
1999,7947660,1237.2,155.67
2000,8008278,1240.4,154.89
2001,8024964,1184.0,147.54
2002,8041649,1135.6,141.21
2003,8058335,1093.7,135.72
2004,8075020,1099.5,136.16
2005,8091706,1138.0,140.64
2006,8108391,1069.0,131.84
2007,8125077,1114.0,137.11
2008,8141762,1098.0,134.86
2009,8158448,1007.5,123.49
2010,8175133,1039.0,127.09
2011,8337907,1021.0,122.45
2012,8463961,1009.1,119.23
2013,8565517,1006.1,117.46
2014,8655238,996.0,115.07
2015,8736590,1009.0,115.49
2016,8794592,1002.0,113.93
2017,8815395,990.2,112.33
2018,8826377,1008.0,114.2
2019,8824751,987.4,111.89
2020,8804190,981.0,111.42
2021,8454000,979.0,115.8
2022,8356000,999.0,119.55
2023,8391000,997.0,118.82
2024,8478000,1002.0,118.19
